ingredient,quantity,grams,cup,slice
onions,,160,1,
chicken,1,272,,
tomatoes,,180,1,
celery,,101,1,
carrots,,128,1,
green onions,1,12,0.125,
mushrooms,,70,1,
mozzarella cheese,,112,1,
bacon,,28,,1
red bell peppers,,149,1,
active yeast,,192,1,
pork,1,263,,
tomato paste,,264,1,
zucchini,,124,1,
ham,,13,,1
red onions,,160,1,
black olives,,134.4,1,
pineapple,0.18,165,1,
salsa,,132,1,
swiss cheese,,132,1,
yellow onion,,87,1,
apples,1,216,1.96,
cabbage,0.077,70,1,
pumpkin puree,,328,1,
broccoli,0.15,91,1,
red peppers,,86.4,1,
shallots,,160,1,
marshmallows,,50,1,
green chile peppers,2,37,1,
beef broth,,240,1,
cottage cheese,,226,1,
ice,1,,0.07,
feta cheese,,150,1,
cauliflower,1,13,0.12,
egg noodles,,38,1,
sweet onions,1,331,2.33,
ricotta cheese,,248,1,
cherry tomatoes,12,,1,
spaghetti sauce,,264,1,
blue cheese,,132,1,
corn,,145,1,
elbow macaroni,,100,1,
coconut milk,,226,1,
mangos,1,336,2,
provolone cheese,,132,1,
pumpkin,,116,1,
water chestnuts,,124,1,
lasagna noodles,1,38,,
maraschino cherries,1,5,,
baby carrots,1,10,0.078125,
baby spinach,,30,1,
dates,20.1,147,1,
french bread,,48,,1
pizza sauce,,252,1,
seashell pasta,,100,1,
sweet potatoes,1,130,1,
corn tortillas,1,26,,
graham crackers,1,15,,
macaroni,,100,1,
marshmallow creme,,113,1,
orange juice concentrate,,248,1,
prosciutto,,47,,1
red potatoes,1,369,2.46,
yellow squash,1,323,2.85,
asparagus,11,134,1,
buttery round crackers,1,3.2,,
button mushrooms,,87,1,
green peppers,1,45,0.3,
kale,,16,1,
lettuce,1,360,10,
peaches,1,130,0.84,
penne pasta,,85,1,
red chile peppers,1,45,0.3,
sun-dried tomatoes,27,54,1,
white cheddar cheese,,132,1,
white chocolate chips,,182,1,
american cheese,,132,1,4.3
bacon bits,,144,1,
butternut squash,,140,1,
figs,17.7,149,1,
goat cheese,,100,1,
grapes,38,92,1,
green olives,1,2.7,,
iceberg lettuce,0.2,72,1,
kalamata olives,1,4.4,0.03125,
peanut butter chips,,182,1,
pearl onions,,160,1,
pepperoni,,2,,1
picante sauce,,256,1,
saltine crackers,1,3,,
snow peas,,98,1,
