DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Calamari Marinara,4.5,2,Chef John,3,4,806,15 m,56 m,1 h 11 m,"['2 tablespoons olive oil', '1 yellow onion, sliced thin', '1 serrano chile pepper, sliced thin', '3 garlic cloves, crushed or minced', '1 anchovy fillet', '1/2 teaspoon red pepper flakes', '1/2 teaspoon kosher salt, plus more as needed', '1/2 cup dry white wine', '1 cup clam juice', '6 cups crushed or pureed Italian plum tomatoes', '1/2 teaspoon dried oregano', '2 pounds frozen calamari (tubes and tentacles), thawed, sliced into 1/2-inch pieces', '1/4 cup freshly chopped Italian parsley', 'Freshly grated Parmigiano-Reggiano cheese (optional)', '1 (16 ounce) package dry pasta']","['Drizzle olive oil into saucepan (not over heat). Add onions, Serrano pepper, garlic, anchovy filet, red pepper flakes, and salt. Place pot over medium-high heat. When onions start to sizzle after a minute or so, stir and cook until onions and garlic just start to turn golden, 3 or 4 minutes. Stir in wine.', 'Cook until wine is reduced by about half, 3 to 5 minutes. Add clam juice, tomatoes, and oregano. Bring to a simmer over medium-high heat. When sauce begins to bubble, reduce heat to medium-low. Simmer gently for about 15 minutes.', 'Transfer calamari to sauce pot; stir gently. Simmer until calamari are tender, 35 to 45 minutes. Remove from heat. Stir in parsley.', 'Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until tender yet firm to the bite, about 12 minutes. Drain.', 'Stir some sauce into the hot, drained pasta. Serve in warm bowls topped with more marinara sauce and grated cheese.', '']"
Chocolate Lovers' Freezzy!,0,0,Julie Hubert,3,4,558,15 m,,15 m,"[""4 cups chocolate ice cream (such as Dreyer's(R))"", '1/3 cup hot fudge sauce, or more to taste', '8 chocolate sandwich cookies (such as Oreo(R)), chopped', '1 (1.4 ounce) bar chocolate-covered toffee candy bar (such as Heath(R)), chopped', '1 brownie, cubed']","['Place 4 highball glasses in the freezer to chill.', 'Place chocolate ice cream in a bowl; churn with an electric mixer on low speed until softened, 15 to 20 seconds. Drizzle fudge sauce over the surface of the ice cream. Scatter chocolate sandwich cookies, toffee candy, and brownie chunks evenly on top; fold in with a spatula.', 'Scoop chocolate ice cream mixture into the chilled glasses.', '']"
Unicorn Waffle Taco Sundae,5,1,Julie Hubert,3,4,818,15 m,3 m,18 m,"['Waffles:', '1 cup all-purpose flour', '2 tablespoons white sugar', '2 teaspoons baking powder', '1/2 teaspoon salt', '3/4 cup warm milk', '1/4 cup butter, melted', '1 egg', '1 teaspoon vanilla extract', 'White Chocolate Magic Shell:', '8 ounces white chocolate, chopped', '2 tablespoons coconut oil', 'Fillings:', '2 tablespoons multicolored candy sprinkles, or to taste', '3 cups strawberry ice cream', '1 cup raspberry sherbet']","['Preheat and grease a standard round waffle iron.', 'Whisk flour, sugar, baking powder, and salt together in a bowl. Stir warm milk, melted butter, egg, and vanilla extract together in a separate bowl; mix into flour mixture just until batter is smooth.', ""Scoop 1/2 cup batter into the preheated waffle iron; cook according to manufacturer's instructions, 2 to 4 minutes. Immediately remove waffle; drape and form around a rolling pin to create a taco shape. Cool to room temperature."", 'Mix white chocolate and coconut oil together in a microwave-safe bowl; heat in microwave until melted and smooth, about 1 minute. Whisk well.', 'Dip the open side of each waffle into the white chocolate mixture using the handle of a spatula to hold the waffle.', 'Sprinkle the sprinkles over white chocolate dipped area of waffle. Fill the waffles with strawberry ice cream and raspberry sorbet.', '']"
Classic Rice Pudding,4.61538457870483,24,Uncle Ben's,33,5,175,5 m,35 m,40 m,"[""1/3 cup UNCLE BEN'S(R) ORIGINAL CONVERTED(R) Brand Rice, uncooked"", '1 1/2 cups water', '1/3 cup sugar', '1 teaspoon cornstarch', '1/4 teaspoon salt', '1 1/3 cups milk', '1 tablespoon butter or margarine', '1/2 teaspoon vanilla extract', '2 egg yolks, beaten', 'Cinnamon or blueberries (optional)']","['Combine rice and water in medium saucepan. Bring to a boil. Reduce heat, cover and simmer 25 minutes, or until rice is very tender and most of water is absorbed.', 'In separate bowl combine sugar, cornstarch and salt.', 'Add milk and sugar mixture to rice. Heat to boiling; boil 1 minute, stirring constantly. Remove from heat.', 'Stir in butter and vanilla.', 'Slowly stir about 1 cup of the hot rice mixture into beaten egg yolks in a bowl.', 'Blend into remaining mixture in saucepan. Cook over medium heat, stirring frequently, just until mixture starts to bubble. Remove from heat.', 'Serve warm or chilled, with the option of adding cinnamon and/or blueberries.', '']"
Grilled Chicken Kabobs,4.53846168518066,13,Uncle Ben's,20,4,395,20 m,15 m,35 m,"['PAM(R) Grilling Spray', '1/2 cup La Choy(R) Teriyaki Stir-Fry Sauce and Marinade', '2 tablespoons La Choy(R) Soy Sauce', '1 pound boneless, skinless chicken breasts, cut into 1-inch pieces', '1 medium zucchini, halved lengthwise, cut into 1/2-inch-thick slices', '1 cup cherry tomatoes', '1/2 medium red onion, cut into 1-inch pieces', '8 (6 inch) bamboo skewers', ""2 (8.5 ounce) packages UNCLE BEN'S(R) READY RICE(R) Jasmine""]","['Spray cold grate of gas grill with cooking spray. Preheat to medium-high heat. Meanwhile, combine teriyaki sauce and soy sauce in small bowl.', 'Thread pieces of chicken and vegetables on each skewer. Grill 5 minutes; turn over and brush with sauce mixture. Grill 5 minutes more or until chicken is no longer pink in center and vegetables are tender. Turn again and brush second side with remaining sauce; grill until sauce is hot, being careful not to burn.', 'Heat rice according to package directions. Serve kabobs with rice.', '']"
Best Ever Rice Stuffing,4.875,8,Uncle Ben's,7,4,325,5 m,30 m,35 m,"[""1 (6.0 ounce) package UNCLE BEN'S(R) Long Grain & Wild Rice Original Recipe"", '2 tablespoons butter', '1 large orange, zested and juiced', '1/2 cup toasted, chopped pecans']","['In a saucepan, saute rice in butter until brown, stirring frequently.', 'Stir in contents of seasoning packet and orange zest.', 'Mix together the orange juice and enough water to equal 2-1/3 cups water and add to rice.', 'Bring to a boil, cover and simmer until liquid is absorbed, about 25 minutes.', 'Stir in toasted pecans.', '']"
Garden Vegetable Rice,4,6,Uncle Ben's,5,4,194,5 m,10 m,15 m,"['8 ounces cooked chicken breast, diced', ""1 (8.8 ounce) pouch UNCLE BEN'S(R) READY RICE(R) Garden Vegetable"", '2 tablespoons chopped pimentos or roasted red peppers', '1 cup chicken or vegetable broth']","['In a large saucepan, heat all ingredients together over medium-high until heated through. Serve while hot.', '']"
Calabacitas Con Queso (Squash with Cheese),0,0,Iracel Jimenez Lopez,0,4,185,15 m,26 m,41 m,"['2 tablespoons vegetable oil', '2 garlic cloves, minced', '1/2 cup chopped onions', '2/3 cup diced tomatoes', '4 large cousa squash, diced', '2 tablespoons chicken bouillon granules', '1/2 cup whole kernel corn', '1/4 cup shredded Colby-Monterey Jack cheese']","['Heat oil in a stockpot over medium heat; add garlic and cook until fragrant, about 30 seconds. Add onions; cook and stir until translucent, about 5 minutes. Stir tomatoes into onion mixture and cook for 30 seconds more.', 'Mix cousa squash and chicken bouillon into tomato mixture; reduce heat, cover, and simmer until squash is tender, 20 to 30 minutes. Stir in corn and Colby-Monterey Jack cheese.', '']"
Pepperoni Pizza Lasagna ,0,0,VICSGARDEN,0,8,593,15 m,48 m,1 h 13 m,"['cooking spray', '8 lasagna noodles', '1 pound ground Italian sausage', '2 cloves garlic, crushed', '1 (30 ounce) jar meatless spaghetti sauce', '1 (15 ounce) container ricotta cheese', '1 egg', '1/3 cup grated Parmesan cheese', '1 tablespoon dried parsley flakes', '1/2 teaspoon dried oregano', '3 cups shredded mozzarella cheese', '1 (4.5 ounce) jar sliced mushrooms, drained', '1 (2.25 ounce) can sliced black olives, divided', '1 (3.5 ounce) package sliced pepperoni', '1/4 teaspoon coarsely ground black pepper']","['Preheat oven to 375 degrees F (190 degrees C). Spray a 9x12-inch baking dish with cooking spray.', 'Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain.', 'Cook and stir sausage and garlic in a large skillet until sausage is browned, about 5 minutes. Drain excess grease. Remove from heat and stir in spaghetti sauce.', 'Mix ricotta cheese, egg, Parmesan cheese, parsley flakes, and oregano together in a bowl.', 'Spread 1/2 cup of the sauce mixture in the bottom of the prepared baking dish. Cover with 4 noodles, 1/2 of the ricotta cheese mixture, 1/3 of the mozzarella cheese, and 1/3 of the sauce mixture. Repeat layers once more. Arrange mushrooms, black olives, and pepperoni on top. Cover with remaining sauce.', 'Bake in the preheated oven until bubbly, about 20 minutes. Sprinkle remaining mozzarella cheese on top. Bake until mozzarella cheese is melted, about 10 minutes. Let stand for 10 minutes before serving.', '']"
Bacon-Wrapped Potatoes with Honey-Scallion Sauce,4,1,Sarah Stone,2,4,406,15 m,23 m,38 m,"['2 large potatoes, cut into 4 to 6 wedges', '8 slices bacon, or more as needed', '8 toothpicks', '2 cups canola oil, or as needed', '2 tablespoons butter, melted', '1 tablespoon honey, or to taste', '1 tablespoon chopped green onion', '1/2 teaspoon chopped fresh parsley', '1/4 teaspoon salt', '1/4 teaspoon ground black pepper']","['Wrap each potato wedge with 1 slice bacon. Secure each end of the bacon slice with a toothpick.', 'Place potato wedges in a large saucepan. Pour in canola oil to to cover halfway. Cook over medium heat, turning occasionally, until potato wedges are tender, about 20 minutes. Increase heat to high; cook until bacon is crisp, 3 to 5 minutes more. Drain on a plate lined with paper towels.', 'Mix butter, honey, green onion, parsley, salt, and pepper together in a small bowl.', 'Remove toothpicks from potato wedges and transfer to a platter. Drizzle melted butter mixture on top.', '']"
